name, username, id, followings
Amanda Cox, amandacox, 22723307, 10023
Melissa Eddy, meddynyt, 23741868, 10105
Clifford Krauss, ckrausss, 39086606, 8353
NYT Digital Design, nytdesign, 148099654, 5836
Jill Taylor, jtaylornyt, 267328866, 1881
Dave Renard, drenard, 45749162, 1455
Jane Perlez, JanePerlez, 868358876, 17830
Ian Austen, ianrausten, 946677414, 11051
Wilson Andrews, wilsonandrews, 35644661, 3877
Rachel C. Abrams, RachelAbramsNY, 237453428, 12299
Danielle Ivory, danielle_ivory, 14412101, 9170
Coral Davenport, CoralMDavenport, 48075643, 56791
Jonah M. Kessel, jonah_kessel, 20946110, 9712
Matthew Goldstein, MattGoldstein26, 383207452, 16400
Alicia DeSantis, aliciadesantis, 262968760, 1178
Reyna Desai, reynadesai, 183639717, 2344
Celia W. Dugger, celiadugger, 1337490036, 6317
Alexandra Garcia, garcia_alexndra, 37247374, 4571
Jason Horowitz, jasondhorowitz, 87584353, 23143
Salman Masood, salmanmasood, 24199781, 80522
Susan Ellingwood, ellingwood, 22834340, 3374
Clay Risen, risenc, 85142160, 6290
Natalie Shutler, NatalieShutler, 240790984, 4075
Scott Cacciola, ScottCacciola, 131277152, 13303
David Moll, moll_david, 334733583, 2445
Larry Buchanan, larrybuch, 27799349, 4126
Whitney Richardson, Whitney_Rich, 133770568, 2975
Chris Stanford, stanfordc, 14872551, 3187
Nathaniel Popper, nathanielpopper, 52160722, 45094
Maggie Astor, MaggieAstor, 326562333, 20899
Rumsey Taylor, iamrumz, 17452080, 1288
Steven Lee Myers, stevenleemyers, 33915226, 17091
Anne Barnard, ABarnardNYT, 249013720, 73718
Malina Gilchrist, Malinagilchrist, 1201619390, 1574
Dagny Salas, dagnysalas, 61384123, 4131
Zach Johnk, zachjohnk, 279655313, 1504
Jessica Silver-Greenberg 🕵🏻‍♀️, jbsgreenberg, 165177737, 11168
Roberta Smith, robertasmithnyt, 123374553, 52773
Josh Keller, joshkellerjosh, 37862759, 3668
Margaux Laskey, margauxlaskey, 41118043, 970
Stacy Cowley, StacyCowley, 147967582, 6841
David Barstow, DavidBarstow, 17809607, 12916
Katrin Bennhold, kbennhold, 141545751, 19881
James G. Robinson, JamesGRobinson, 373729837, 2303
Kate Zernike, kzernike, 115505593, 5654
David Streitfeld, DavidStreitfeld, 409462343, 4501
Karen Yourish, karenyourish, 18528216, 6458
Steve Kenny, nytstevek, 1483971788, 2589
David Waldstein, DavidWaldstein, 69892375, 9010
Alexandra Stevenson, jotted, 269399083, 19394
David Gelles, dgelles, 3630501, 19001
Dean Chang, dchangnyt, 372386913, 6419
Pam Belluck, PamBelluck, 95273012, 10271
Barbara Strauch, bstrauch, 135117679, 1594
Dennis Overbye, overbye, 16258157, 4971
Patrick McGeehan, NYTpatrick, 67418458, 2395
Liz Gerecitano, lizgerecitano, 238282392, 388
Ben Grandgenett, bengrandgenett, 66144864, 3333
kathleen lingo, KLL5, 35286407, 2702
Jonathan Martin, jmartNYT, 18678924, 325610
纽约时报中文网, nytchinese, 620632841, 1705272
karen zraick, karenzraick, 43230234, 5900
Natasha Singer, natashanyt, 333517999, 11780
Kayne Rogers, KayneRogers, 1347226375, 2480
Dan Bilefsky, DanBilefsky, 273581084, 15102
Karron Skog, karronskog, 41940910, 776
Ben 😷 Hubbard, NYTBen, 299734693, 56197
rebecca corbett, rlccorbett, 1378279770, 373
Noel Millea, NoelMillea, 876114956, 1873
Jim Kerstetter, jimkerstetter, 281196299, 3545
Jacob Bernstein, BernsteinJacob, 462424772, 15039
Jonathan Corum, 13pt, 347276428, 8294
Emma Cott, EmmaCottNYT, 871989314, 2807
Patrick Healy, patrickhealynyt, 139870125, 26205
Alissa J. Rubin, Alissanyt, 387531939, 13590
Brian Fidelman, brianfidelman, 57713065, 423
Shaila Dewan, shailadewan, 94213060, 6518
Jeffrey Gettleman, gettleman, 305125998, 29150
Isabel Kershner, IKershner, 1280318305, 6695
Scott Blumenthal, blumysden, 772323, 871
Stephen Crowley/crowleygraph, Stcrow, 24715018, 8494
Glenn Kramon, GlennKramon, 1247237509, 1135
Kaly Soto, kalyTsoto, 15238841, 1796
anahad oconnor, anahadoconnor, 20384034, 8641
Gregory Cowles, GregoryCowles, 1225954434, 9649
elisabetta povoledo, EPovoledo, 382734543, 6334
Laurie Goodstein, lauriegnyt, 460408325, 18393
Florence Fabricant, FloFab, 1184637614, 7053
Benjamin Hoffman, BenHoffmanNYT, 436347713, 4643
Jan Hoffman, JanHoffmanNYT, 135991884, 3603
Sarah Bures, sarahbures, 55931030, 1270
Jennifer Contogeorgos, jlambrini, 63320711, 502
Frances Robles, FrancesRobles, 26336913, 25137
carolynryan 🏳️‍🌈🏓, carolynryan, 15908429, 42907
Kassie Bracken, KassieBracken, 569194982, 2565
Russ Buettner, russbuettner, 39581173, 19983
barbara graustark, bagrau, 26293094, 2475
Sabrina Tavernise, stavernise, 208163898, 13132
Nicole Perlroth, nicoleperlroth, 13404292, 79510
Ellen Barry, EllenBarryNYT, 199766003, 45279
Three-shots Bussit 💉 💉💉 (née Ashley $Southall), AshleyAtTimes, 18450088, 8220
Sam Roberts, samrob12, 39317107, 4621
Andrea Elliott, andreafelliott, 351768289, 7762
Maira Garcia, mairalg, 15062129, 5552
David Halbfinger, halbfinger, 39574433, 9566
Philip B. Corbett, CorbettNYT, 404911747, 1100
Matt Flegenheimer, mattfleg, 218276360, 19266
Michael Strickland, moriogawa, 15521258, 1570
Hanna Ingber, HannaIngber, 87986621, 10456
Sona Patel, sona, 15245975, 12808
Heather Tal Murphy, heathertal, 18507983, 5162
Adam B. Ellick, aellick, 42467881, 9591
Thomas Erdbrink, ThomasErdbrink, 253004443, 99865
Kathy Ryan, ryan_kathy, 633726625, 17507
melissa clark, MelissaClark, 49943475, 109628
Ashwin Seshagiri, winguero, 47469109, 1476
Joe Goldstein, JoeKGoldstein, 713369978, 4401
rickgladstone, rickgladstone, 17914013, 9858
Steve Eder, SteveEder, 120185048, 8406
Steven Erlanger, StevenErlanger, 429685724, 25290
Christine Hauser, christineNYT, 241169811, 3815
jason stallman, jstallman, 16459757, 458
